,RNA_NAME,Regression coefficient,R-square
110,hsa-mir-3614,0.02703,0.00552516
111,hsa-mir-153-2,0.01851,0.00541814
112,hsa-mir-122,0.01577,0.0053505
113,hsa-mir-409,0.01829,0.00530958
114,hsa-mir-675,0.01346,0.00530199
115,hsa-mir-4421,0.10107,0.00525993
116,hsa-mir-504,0.03528,0.00525137
117,hsa-mir-30e,0.0423,0.00515419
118,hsa-mir-449b,0.03856,0.00510623
119,hsa-mir-450a-1,0.02534,0.00499617
120,hsa-mir-378a,0.02218,0.00493773
121,hsa-mir-6818,0.11802,0.00492437
122,hsa-mir-891b,0.04032,0.00491831
123,hsa-mir-488,0.02752,0.0049026
124,hsa-mir-3605,0.04084,0.00480209
125,hsa-mir-487b,0.0186,0.00477491
126,hsa-mir-651,0.02958,0.00476422
127,hsa-mir-520e,0.02118,0.0047565
128,hsa-mir-3189,0.0705,0.00475576
129,hsa-mir-2115,0.05001,0.00472422
130,hsa-mir-767,0.0099,0.00457994
131,hsa-mir-486-2,0.01856,0.00454617
132,hsa-mir-142,0.01685,0.00453714
133,hsa-mir-556,0.04678,0.00448963
134,hsa-mir-129-1,0.01587,0.00445219
135,hsa-mir-3652,0.04369,0.00439114
136,hsa-mir-541,0.02682,0.00438524
137,hsa-mir-5699,0.04916,0.00436774
138,hsa-mir-1296,0.02565,0.00428374
139,hsa-mir-202,0.01912,0.00419728
140,hsa-mir-664b,0.03511,0.00416704
141,hsa-mir-1537,0.07512,0.00416078
142,hsa-mir-590,0.03018,0.00415949
143,hsa-mir-124-2,0.0215,0.00414031
144,hsa-mir-216b,0.02527,0.00412168
145,hsa-mir-431,0.01405,0.00409084
146,hsa-mir-6514,0.06419,0.00406606
147,hsa-mir-452,0.01605,0.00404176
148,hsa-mir-1910,0.04543,0.00402854
149,hsa-mir-548s,0.0595,0.00401772
150,hsa-mir-592,0.01867,0.00398647
151,hsa-mir-1468,0.02531,0.00397506
152,hsa-mir-942,0.02226,0.00389402
153,hsa-mir-33a,0.02159,0.00385792
154,hsa-mir-616,0.0261,0.00380693
155,hsa-mir-181d,0.02163,0.00378387
156,hsa-mir-548e,0.06105,0.00376911
157,hsa-mir-3622a,0.04296,0.00373408
158,hsa-mir-18a,0.01711,0.0036772
159,hsa-mir-484,0.02996,0.0036634
160,hsa-mir-155,0.01598,0.00361847
161,hsa-mir-1283-1,0.02979,0.00360653
162,hsa-mir-425,0.0222,0.00359289
163,hsa-mir-7846,0.0979,0.00358817
164,hsa-mir-320b-2,0.03084,0.00357203
165,hsa-mir-499a,0.03672,0.00353648
166,hsa-mir-192,0.00981,0.0034958
167,hsa-mir-1249,0.03111,0.00348201
168,hsa-mir-28,0.02882,0.00345113
169,hsa-mir-4709,0.02294,0.00340173
170,hsa-mir-466,0.05254,0.00339509
171,hsa-mir-338,0.01665,0.003378
172,hsa-mir-522,0.01506,0.00337789
173,hsa-mir-6884,0.11096,0.00337161
174,hsa-mir-559,0.06456,0.00336156
175,hsa-mir-144,0.01523,0.00333904
176,hsa-mir-210,0.01158,0.00327107
177,hsa-mir-585,0.03276,0.00323781
178,hsa-mir-3129,0.05022,0.00322365
179,hsa-mir-551a,0.0319,0.00320678
180,hsa-mir-802,0.0389,0.00320079
181,hsa-mir-323a,0.01306,0.0031725
182,hsa-mir-4772,0.01873,0.00311744
183,hsa-mir-2110,0.03655,0.00306098
184,hsa-mir-204,0.01113,0.00303985
185,hsa-mir-3158-1,0.07622,0.00300068
186,hsa-mir-147b,0.02481,0.00297586
187,hsa-mir-1180,0.01863,0.00296569
188,hsa-mir-1915,0.10636,0.00291522
189,hsa-mir-887,0.0196,0.00288188
190,hsa-mir-363,0.01327,0.00283639
191,hsa-mir-370,0.01291,0.00281013
192,hsa-mir-4785,0.10977,0.00280306
193,hsa-mir-145,0.01633,0.00275338
194,hsa-mir-15b,0.02228,0.0027255
195,hsa-mir-3155a,0.11419,0.00267054
196,hsa-mir-383,0.01489,0.00265304
197,hsa-mir-378c,0.02091,0.00262275
198,hsa-mir-378d-1,0.06084,0.00257579
199,hsa-mir-1251,0.00908,0.00255902
200,hsa-mir-3934,0.02161,0.00255367
201,hsa-let-7d,0.02715,0.00254484
202,hsa-mir-3917,0.02853,0.00246159
203,hsa-mir-1277,0.02737,0.00244864
204,hsa-mir-3191,0.05798,0.00244603
205,hsa-mir-1254-1,0.04214,0.00240625
206,hsa-mir-4454,0.06017,0.00238603
207,hsa-mir-196a-2,0.00748,0.00238377
208,hsa-mir-622,0.12779,0.00237642
