,RNA_NAME,Regression coefficient,R-square
1409,hsa-mir-3914-2,0,0
1410,hsa-mir-3914-1,0,0
1411,hsa-mir-3913-2,0,0
1412,hsa-mir-3913-1,0,0
1413,hsa-mir-3911,0,0
1414,hsa-mir-3910-2,0,0
1415,hsa-mir-3910-1,0,0
1416,hsa-mir-3909,0,0
1417,hsa-mir-3908,0,0
1418,hsa-mir-3907,0,0
1419,hsa-mir-380,0,0
1420,hsa-mir-378j,0,0
1421,hsa-mir-378i,0,0
1422,hsa-mir-378h,0,0
1423,hsa-mir-378g,0,0
1424,hsa-mir-378f,0,0
1425,hsa-mir-378e,0,0
1426,hsa-mir-378b,0,0
1427,hsa-mir-376b,0,0
1428,hsa-mir-376a-1,0,0
1429,hsa-mir-374a,0,0
1430,hsa-mir-372,0,0
1431,hsa-mir-371b,0,0
1432,hsa-mir-371a,0,0
1433,hsa-mir-3714,0,0
1434,hsa-mir-3692,0,0
1435,hsa-mir-3689f,0,0
1436,hsa-mir-3689e,0,0
1437,hsa-mir-3689d-2,0,0
1438,hsa-mir-3689c,0,0
1439,hsa-mir-3689b,0,0
1440,hsa-mir-3688-1,0,0
1441,hsa-mir-3686,0,0
1442,hsa-mir-3685,0,0
1443,hsa-mir-3683,0,0
1444,hsa-mir-3682,0,0
1445,hsa-mir-3681,0,0
1446,hsa-mir-3679,0,0
1447,hsa-mir-3677,0,0
1448,hsa-mir-3675,0,0
1449,hsa-mir-3674,0,0
1450,hsa-mir-3672,0,0
1451,hsa-mir-3671,0,0
1452,hsa-mir-367,0,0
1453,hsa-mir-3668,0,0
1454,hsa-mir-3666,0,0
1455,hsa-mir-3665,0,0
1456,hsa-mir-3663,0,0
1457,hsa-mir-3661,0,0
1458,hsa-mir-365a,0,0
1459,hsa-mir-3658,0,0
1460,hsa-mir-3657,0,0
1461,hsa-mir-3656,0,0
1462,hsa-mir-3654,0,0
1463,hsa-mir-3650,0,0
1464,hsa-mir-3649,0,0
1465,hsa-mir-3646,0,0
1466,hsa-mir-3622b,0,0
1467,hsa-mir-3621,0,0
1468,hsa-mir-3612,0,0
1469,hsa-mir-3611,0,0
1470,hsa-mir-3606,0,0
1471,hsa-mir-3591,0,0
1472,hsa-mir-3529,0,0
1473,hsa-mir-34a,0,0
1474,hsa-mir-340,0,0
1475,hsa-mir-329-1,0,0
1476,hsa-mir-325,0,0
1477,hsa-mir-323b,0,0
1478,hsa-mir-320c-1,0,0
1479,hsa-mir-320b-1,0,0
1480,hsa-mir-3202-2,0,0
1481,hsa-mir-3202-1,0,0
1482,hsa-mir-3199-1,0,0
1483,hsa-mir-3198-2,0,0
1484,hsa-mir-3197,0,0
1485,hsa-mir-3196,0,0
1486,hsa-mir-3195,0,0
1487,hsa-mir-3192,0,0
1488,hsa-mir-3186,0,0
1489,hsa-mir-3185,0,0
1490,hsa-mir-3184,0,0
1491,hsa-mir-3181,0,0
1492,hsa-mir-3180-5,0,0
1493,hsa-mir-3180-4,0,0
1494,hsa-mir-3180-3,0,0
1495,hsa-mir-3180-2,0,0
1496,hsa-mir-3180-1,0,0
1497,hsa-mir-3178,0,0
1498,hsa-mir-3177,0,0
1499,hsa-mir-3175,0,0
1500,hsa-mir-3173,0,0
1501,hsa-mir-3171,0,0
1502,hsa-mir-3170,0,0
1503,hsa-mir-3169,0,0
1504,hsa-mir-3168,0,0
1505,hsa-mir-3167,0,0
1506,hsa-mir-3165,0,0
1507,hsa-mir-3163,0,0
1508,hsa-mir-3162,0,0
1509,hsa-mir-3160-2,0,0
1510,hsa-mir-3160-1,0,0
1511,hsa-mir-3159,0,0
1512,hsa-mir-3156-3,0,0
1513,hsa-mir-3156-2,0,0
1514,hsa-mir-3156-1,0,0
1515,hsa-mir-3155b,0,0
1516,hsa-mir-3153,0,0
1517,hsa-mir-3151,0,0
1518,hsa-mir-3150a,0,0
1519,hsa-mir-3149,0,0
1520,hsa-mir-3148,0,0
1521,hsa-mir-3147,0,0
1522,hsa-mir-3146,0,0
1523,hsa-mir-3144,0,0
1524,hsa-mir-3143,0,0
1525,hsa-mir-3142,0,0
1526,hsa-mir-3141,0,0
1527,hsa-mir-3140,0,0
1528,hsa-mir-3135b,0,0
1529,hsa-mir-3135a,0,0
1530,hsa-mir-3134,0,0
1531,hsa-mir-3133,0,0
1532,hsa-mir-3132,0,0
1533,hsa-mir-3130-2,0,0
1534,hsa-mir-3128,0,0
1535,hsa-mir-3126,0,0
1536,hsa-mir-3125,0,0
1537,hsa-mir-3122,0,0
1538,hsa-mir-3121,0,0
1539,hsa-mir-3120,0,0
1540,hsa-mir-3119-2,0,0
1541,hsa-mir-3119-1,0,0
1542,hsa-mir-3116-2,0,0
1543,hsa-mir-3116-1,0,0
1544,hsa-mir-30d,0,0
1545,hsa-mir-30c-2,0,0
1546,hsa-mir-30c-1,0,0
1547,hsa-mir-30a,0,0
1548,hsa-mir-3064,0,0
1549,hsa-mir-302e,0,0
1550,hsa-mir-302d,0,0
1551,hsa-mir-302c,0,0
1552,hsa-mir-302b,0,0
1553,hsa-mir-300,0,0
1554,hsa-mir-29b-2,0,0
1555,hsa-mir-29b-1,0,0
1556,hsa-mir-29a,0,0
1557,hsa-mir-298,0,0
1558,hsa-mir-2909,0,0
1559,hsa-mir-2861,0,0
1560,hsa-mir-27b,0,0
1561,hsa-mir-27a,0,0
1562,hsa-mir-26b,0,0
1563,hsa-mir-26a-2,0,0
1564,hsa-mir-2682,0,0
1565,hsa-mir-2681,0,0
1566,hsa-mir-2467,0,0
1567,hsa-mir-24-2,0,0
1568,hsa-mir-24-1,0,0
1569,hsa-mir-2392,0,0
1570,hsa-mir-2278,0,0
1571,hsa-mir-2276,0,0
1572,hsa-mir-222,0,0
1573,hsa-mir-219b,0,0
1574,hsa-mir-218-2,0,0
1575,hsa-mir-218-1,0,0
1576,hsa-mir-217,0,0
1577,hsa-mir-214,0,0
1578,hsa-mir-212,0,0
1579,hsa-mir-208b,0,0
1580,hsa-mir-208a,0,0
1581,hsa-mir-2052,0,0
1582,hsa-mir-19b-1,0,0
1583,hsa-mir-19a,0,0
1584,hsa-mir-199a-2,0,0
1585,hsa-mir-199a-1,0,0
1586,hsa-mir-198,0,0
1587,hsa-mir-1976,0,0
1588,hsa-mir-1973,0,0
1589,hsa-mir-1972-1,0,0
1590,hsa-mir-196a-1,0,0
1591,hsa-mir-195,0,0
1592,hsa-mir-194-2,0,0
1593,hsa-mir-194-1,0,0
1594,hsa-mir-1913,0,0
1595,hsa-mir-1912,0,0
1596,hsa-mir-1911,0,0
1597,hsa-mir-1909,0,0
1598,hsa-mir-1908,0,0
1599,hsa-mir-188,0,0
1600,hsa-mir-186,0,0
1601,hsa-mir-185,0,0
1602,hsa-mir-1827,0,0
1603,hsa-mir-1825,0,0
1604,hsa-mir-182,0,0
1605,hsa-mir-181b-1,0,0
1606,hsa-mir-16-2,0,0
1607,hsa-mir-16-1,0,0
1608,hsa-mir-1587,0,0
1609,hsa-mir-1539,0,0
1610,hsa-mir-153-1,0,0
1611,hsa-mir-152,0,0
1612,hsa-mir-148b,0,0
1613,hsa-mir-147a,0,0
1614,hsa-mir-146b,0,0
1615,hsa-mir-146a,0,0
1616,hsa-mir-1469,0,0
1617,hsa-mir-141,0,0
1618,hsa-mir-133a-1,0,0
1619,hsa-mir-1322,0,0
1620,hsa-mir-130b,0,0
1621,hsa-mir-1303,0,0
1622,hsa-mir-1302-5,0,0
1623,hsa-mir-1302-3,0,0
1624,hsa-mir-1299,0,0
1625,hsa-mir-1297,0,0
1626,hsa-mir-1294,0,0
1627,hsa-mir-1293,0,0
1628,hsa-mir-1292,0,0
1629,hsa-mir-1291,0,0
1630,hsa-mir-1290,0,0
1631,hsa-mir-1289-2,0,0
1632,hsa-mir-1287,0,0
1633,hsa-mir-1285-2,0,0
1634,hsa-mir-1284,0,0
1635,hsa-mir-1283-2,0,0
1636,hsa-mir-1282,0,0
1637,hsa-mir-1281,0,0
1638,hsa-mir-128-2,0,0
1639,hsa-mir-1278,0,0
1640,hsa-mir-1276,0,0
1641,hsa-mir-1273h,0,0
1642,hsa-mir-1273g,0,0
1643,hsa-mir-1273c,0,0
1644,hsa-mir-1273a,0,0
1645,hsa-mir-1272,0,0
1646,hsa-mir-1270,0,0
1647,hsa-mir-1268b,0,0
1648,hsa-mir-1268a,0,0
1649,hsa-mir-1267,0,0
1650,hsa-mir-1265,0,0
1651,hsa-mir-1264,0,0
1652,hsa-mir-1263,0,0
1653,hsa-mir-1260b,0,0
1654,hsa-mir-1260a,0,0
1655,hsa-mir-126,0,0
1656,hsa-mir-125b-1,0,0
1657,hsa-mir-1257,0,0
1658,hsa-mir-1255b-2,0,0
1659,hsa-mir-1255a,0,0
1660,hsa-mir-1253,0,0
1661,hsa-mir-1252,0,0
1662,hsa-mir-1250,0,0
1663,hsa-mir-1246,0,0
1664,hsa-mir-1244-3,0,0
1665,hsa-mir-1244-2,0,0
1666,hsa-mir-1244-1,0,0
1667,hsa-mir-124-3,0,0
1668,hsa-mir-124-1,0,0
1669,hsa-mir-1238,0,0
1670,hsa-mir-1236,0,0
1671,hsa-mir-1234,0,0
1672,hsa-mir-1233-2,0,0
1673,hsa-mir-1233-1,0,0
1674,hsa-mir-1231,0,0
1675,hsa-mir-1229,0,0
1676,hsa-mir-1227,0,0
1677,hsa-mir-1226,0,0
1678,hsa-mir-1207,0,0
1679,hsa-mir-1206,0,0
1680,hsa-mir-1205,0,0
1681,hsa-mir-1204,0,0
1682,hsa-mir-1203,0,0
1683,hsa-mir-1200,0,0
1684,hsa-mir-1199,0,0
1685,hsa-mir-1185-1,0,0
1686,hsa-mir-1184-3,0,0
1687,hsa-mir-1184-2,0,0
1688,hsa-mir-1184-1,0,0
1689,hsa-mir-1183,0,0
1690,hsa-mir-1182,0,0
1691,hsa-mir-1181,0,0
1692,hsa-mir-1178,0,0
1693,hsa-mir-106b,0,0
1694,hsa-mir-103b-2,0,0
1695,hsa-mir-103a-2,0,0
1696,hsa-mir-103a-1,0,0
1697,hsa-mir-101-1,0,0
1698,hsa-mir-1-1,0,0
1699,hsa-let-7f-2,0,0
1700,hsa-let-7b,0,0
1701,hsa-let-7a-2,0,0
1702,hsa-let-7a-1,0,0
